computed_at,race_id,as_of_date,days_out,margin,dem_pct,rep_pct,n_polls,effective_n,n_partisan,partisan_lean,excluded_partisan,window_days,half_life_days
2026-09-03T15:05:39,2026-gov-AZ,2026-09-03,61,6.68,45.79,39.11,8,6.77,1,-2.57,False,45,14
2026-09-03T15:05:39,2026-gov-PA,2026-09-03,61,21.33,53.55,32.22,6,4.95,1,-15.8,False,45,14
2026-09-03T15:05:39,2026-gov-MI,2026-09-03,61,6.51,48.48,41.97,8,6.25,0,,False,45,14
2026-09-03T15:05:40,2026-gov-OH,2026-09-03,61,-0.48,47.49,47.97,2,2.0,0,,False,45,14
2026-09-03T15:05:40,2026-gov-TX,2026-09-03,61,-4.89,43.32,48.22,8,5.99,1,1.29,False,45,14
2026-09-03T15:05:40,2026-gov-FL,2026-09-03,61,-7.0,38.0,45.0,1,1.0,0,,False,45,14
2026-09-03T15:05:41,2026-gov-NY,2026-09-03,61,10.0,49.0,39.0,1,1.0,0,,False,45,14
2026-09-03T15:05:41,2026-gov-CA,2026-09-03,61,18.0,55.0,37.0,1,1.0,0,,False,45,14
2026-09-03T15:05:41,2026-gov-NM,2026-09-03,61,17.0,41.0,24.0,1,1.0,0,,False,45,14
2026-09-03T15:05:42,2026-gov-GA,2026-09-03,61,0.4,46.26,45.86,2,1.76,0,,False,45,14
2026-09-03T15:05:42,2026-gov-WI,2026-09-03,61,2.85,45.96,43.1,7,5.9,3,0.0,False,45,14
2026-09-03T15:05:42,2026-gov-ME,2026-09-03,61,11.83,49.0,37.17,2,1.67,0,,False,45,14
2026-09-03T15:05:43,2026-gov-NH,2026-09-03,61,-10.42,38.58,49.0,2,1.95,0,,False,45,14
2026-09-03T15:05:43,2026-gov-MN,2026-09-03,61,16.0,52.0,36.0,1,1.0,0,,False,45,14
2026-09-03T15:05:44,2026-generic-ballot,2026-09-03,61,5.84,40.87,35.02,5,4.91,0,,False,45,14
2026-09-04T15:02:24,2026-senate-GA,2026-09-04,60,7.5,50.1,42.6,1,1.0,0,,False,45,14
2026-09-04T15:02:24,2026-senate-MI,2026-09-04,60,2.55,46.79,44.24,12,9.76,3,2.26,False,45,14
2026-09-04T15:02:24,2026-senate-NC,2026-09-04,60,8.73,50.36,41.64,8,7.04,1,-2.93,False,45,14
2026-09-04T15:02:25,2026-senate-ME,2026-09-04,60,2.73,48.36,45.64,2,1.86,1,2.0,False,45,14
2026-09-04T15:02:25,2026-senate-OH,2026-09-04,60,5.97,50.46,44.49,2,2.0,0,,False,45,14
2026-09-04T15:02:26,2026-senate-TX,2026-09-04,60,3.18,46.68,43.5,8,6.05,1,0.29,False,45,14
2026-09-04T15:02:26,2026-senate-IA,2026-09-04,60,-4.61,43.76,48.36,3,2.34,0,,False,45,14
2026-09-04T15:02:26,2026-senate-NH,2026-09-04,60,1.77,45.09,43.32,2,1.95,0,,False,45,14
2026-09-04T15:02:26,2026-senate-MN,2026-09-04,60,5.0,46.0,41.0,1,1.0,0,,False,45,14
2026-09-04T15:02:27,2026-senate-AK,2026-09-04,60,1.31,50.66,49.34,2,1.68,0,,False,45,14
2026-09-04T15:02:27,2026-gov-AZ,2026-09-04,60,6.68,45.79,39.11,8,6.77,1,-2.57,False,45,14
2026-09-04T15:02:28,2026-gov-PA,2026-09-04,60,21.33,53.55,32.22,6,4.95,1,-15.8,False,45,14
2026-09-04T15:02:28,2026-gov-MI,2026-09-04,60,6.51,48.48,41.97,8,6.25,0,,False,45,14
2026-09-04T15:02:28,2026-gov-OH,2026-09-04,60,-0.48,47.49,47.97,2,2.0,0,,False,45,14
2026-09-04T15:02:28,2026-gov-TX,2026-09-04,60,-4.89,43.32,48.22,8,5.99,1,1.29,False,45,14
2026-09-04T15:02:29,2026-gov-FL,2026-09-04,60,-7.0,38.0,45.0,1,1.0,0,,False,45,14
2026-09-04T15:02:29,2026-gov-NY,2026-09-04,60,13.74,49.62,35.88,2,1.88,1,6.0,False,45,14
2026-09-04T15:02:29,2026-gov-CA,2026-09-04,60,18.0,55.0,37.0,1,1.0,0,,False,45,14
2026-09-04T15:02:30,2026-gov-NM,2026-09-04,60,17.0,41.0,24.0,1,1.0,0,,False,45,14
2026-09-04T15:02:30,2026-gov-GA,2026-09-04,60,0.4,46.26,45.86,2,1.76,0,,False,45,14
2026-09-04T15:02:30,2026-gov-WI,2026-09-04,60,2.85,45.96,43.1,7,5.9,3,0.0,False,45,14
2026-09-04T15:02:31,2026-gov-ME,2026-09-04,60,11.0,49.0,38.0,1,1.0,0,,False,45,14
2026-09-04T15:02:31,2026-gov-NH,2026-09-04,60,-10.42,38.58,49.0,2,1.95,0,,False,45,14
2026-09-04T15:02:31,2026-gov-MN,2026-09-04,60,16.0,52.0,36.0,1,1.0,0,,False,45,14
2026-09-04T15:02:32,2026-generic-ballot,2026-09-04,60,5.84,40.87,35.02,5,4.91,0,,False,45,14
2026-09-05T13:57:43,2026-senate-GA,2026-09-05,59,7.5,50.1,42.6,1,1.0,0,,False,45,14
2026-09-05T13:57:43,2026-senate-MI,2026-09-05,59,2.55,46.79,44.24,12,9.76,3,2.26,False,45,14
2026-09-05T13:57:43,2026-senate-NC,2026-09-05,59,8.73,50.36,41.64,8,7.04,1,-2.93,False,45,14
2026-09-05T13:57:43,2026-senate-ME,2026-09-05,59,2.73,48.36,45.64,2,1.86,1,2.0,False,45,14
2026-09-05T13:57:43,2026-senate-OH,2026-09-05,59,5.97,50.46,44.49,2,2.0,0,,False,45,14
2026-09-05T13:57:44,2026-senate-TX,2026-09-05,59,3.18,46.68,43.5,8,6.05,1,0.29,False,45,14
2026-09-05T13:57:44,2026-senate-IA,2026-09-05,59,-4.61,43.76,48.36,3,2.34,0,,False,45,14
2026-09-05T13:57:44,2026-senate-NH,2026-09-05,59,1.77,45.09,43.32,2,1.95,0,,False,45,14
2026-09-05T13:57:44,2026-senate-MN,2026-09-05,59,5.0,46.0,41.0,1,1.0,0,,False,45,14
2026-09-05T13:57:44,2026-senate-AK,2026-09-05,59,1.31,50.66,49.34,2,1.68,0,,False,45,14
2026-09-05T13:57:45,2026-gov-AZ,2026-09-05,59,6.68,45.79,39.11,8,6.77,1,-2.57,False,45,14
2026-09-05T13:57:45,2026-gov-PA,2026-09-05,59,21.33,53.55,32.22,6,4.95,1,-15.8,False,45,14
2026-09-05T13:57:45,2026-gov-MI,2026-09-05,59,6.51,48.48,41.97,8,6.25,0,,False,45,14
2026-09-05T13:57:45,2026-gov-OH,2026-09-05,59,-0.48,47.49,47.97,2,2.0,0,,False,45,14
2026-09-05T13:57:45,2026-gov-TX,2026-09-05,59,-4.89,43.32,48.22,8,5.99,1,1.29,False,45,14
2026-09-05T13:57:45,2026-gov-FL,2026-09-05,59,-7.0,38.0,45.0,1,1.0,0,,False,45,14
2026-09-05T13:57:46,2026-gov-NY,2026-09-05,59,13.74,49.62,35.88,2,1.88,1,6.0,False,45,14
2026-09-05T13:57:46,2026-gov-CA,2026-09-05,59,18.0,55.0,37.0,1,1.0,0,,False,45,14
2026-09-05T13:57:46,2026-gov-NM,2026-09-05,59,17.0,41.0,24.0,1,1.0,0,,False,45,14
2026-09-05T13:57:46,2026-gov-GA,2026-09-05,59,0.4,46.26,45.86,2,1.76,0,,False,45,14
2026-09-05T13:57:47,2026-gov-WI,2026-09-05,59,2.85,45.96,43.1,7,5.9,3,0.0,False,45,14
2026-09-05T13:57:47,2026-gov-ME,2026-09-05,59,11.0,49.0,38.0,1,1.0,0,,False,45,14
2026-09-05T13:57:47,2026-gov-NH,2026-09-05,59,-10.42,38.58,49.0,2,1.95,0,,False,45,14
2026-09-05T13:57:47,2026-gov-MN,2026-09-05,59,16.0,52.0,36.0,1,1.0,0,,False,45,14
